UFID_Corrected,YEAR,hcw,CG,Ranch,LOT,RanchLOT,PC1,PC2
N60016,2017,857,17,Ranch2,_7626,Ranch2_7626,-0.00778893,0.0163617
N60017,2017,757,17,Ranch2,_7626,Ranch2_7626,0.000719479,-0.00957729
N60018,2017,851,5,Ranch12,_7606,Ranch12_7606,-0.00504796,-0.000759679
N60019,2017,915,5,Ranch12,_7606,Ranch12_7606,-0.00425621,-0.037358
N60020,2017,815,5,Ranch12,_7606,Ranch12_7606,0.00385704,-0.0231807
N60021,2017,685,6,Ranch12,_7626,Ranch12_7626,-0.00132014,-0.0395017
N60022,2017,753,17,Ranch2,_7626,Ranch2_7626,0.0045671,-0.0362226
N60023,2017,811,17,Ranch2,_7626,Ranch2_7626,-0.0119252,-0.0214727
N60024,2017,888,16,Ranch2,_7606,Ranch2_7606,-0.00482542,-0.00198596
N60025,2017,767,6,Ranch12,_7626,Ranch12_7626,-0.00104413,-0.0271567
N60027,2017,753,17,Ranch2,_7626,Ranch2_7626,-0.00668744,-0.0410109
N60028,2017,897,17,Ranch2,_7626,Ranch2_7626,-0.0117024,-0.0393344
N60029,2017,827,17,Ranch2,_7626,Ranch2_7626,-0.00823135,-0.00888587
N60030,2017,901,24,Ranch5,_7606,Ranch5_7606,-0.0023936,0.0568747
N60031,2017,787,16,Ranch2,_7606,Ranch2_7606,-0.00557415,-0.022868
N60032,2017,829,6,Ranch12,_7626,Ranch12_7626,-0.00543116,-0.0400888
N60033,2017,808,17,Ranch2,_7626,Ranch2_7626,-0.0125089,-2.49E-05
N60034,2017,816,4,Ranch11,_7606,Ranch11_7606,0.0127308,0.0106404
N60035,2017,737,5,Ranch12,_7606,Ranch12_7606,0.000759735,-0.0219531
N60036,2017,878,17,Ranch2,_7626,Ranch2_7626,-0.0138264,-0.0391614
N60037,2017,778,6,Ranch12,_7626,Ranch12_7626,-0.00114815,-0.0206403
N60038,2017,737,7,Ranch13,_7096,Ranch13_7096,0.004946,-0.00817768
N60039,2017,696,7,Ranch13,_7096,Ranch13_7096,-0.00661642,-0.0356544
N60040,2017,888,7,Ranch13,_7096,Ranch13_7096,0.0031927,0.00513436
N60041,2017,967,7,Ranch13,_7096,Ranch13_7096,-0.00565231,-0.0239793
N60042,2017,726,7,Ranch13,_7096,Ranch13_7096,-0.00274651,-0.00383047
N60043,2017,841,7,Ranch13,_7096,Ranch13_7096,0.00658023,-0.0224798
N60044,2017,793,7,Ranch13,_7096,Ranch13_7096,0.00528094,-0.00596691
N60045,2017,725,7,Ranch13,_7096,Ranch13_7096,-0.00501509,-0.0521744
N60046,2017,828,7,Ranch13,_7096,Ranch13_7096,0.00251858,-0.0348061
N60047,2017,804,7,Ranch13,_7096,Ranch13_7096,0.00500357,-0.00494134
N60048,2017,860,7,Ranch13,_7096,Ranch13_7096,-0.00771115,0.00185538
N60049,2017,731,7,Ranch13,_7096,Ranch13_7096,0.000636532,-0.0124767
N60050,2017,834,7,Ranch13,_7096,Ranch13_7096,-0.00999189,-0.0328885
N60051,2017,749,7,Ranch13,_7096,Ranch13_7096,0.00321921,-0.00898125
N60052,2017,818,7,Ranch13,_7096,Ranch13_7096,-0.00642477,-0.0183762
N60053,2017,861,7,Ranch13,_7096,Ranch13_7096,0.00678817,-0.0227537
N60054,2017,786,24,Ranch5,_7606,Ranch5_7606,-0.00364916,-0.00879788
N60055,2017,845,7,Ranch13,_7096,Ranch13_7096,-0.00777095,-0.0384915
N60056,2017,893,7,Ranch13,_7096,Ranch13_7096,0.00156803,0.00424367
N60057,2017,917,7,Ranch13,_7096,Ranch13_7096,-0.00544306,-0.0187426
N60058,2017,891,7,Ranch13,_7096,Ranch13_7096,0.00430241,-0.0408858
N60059,2017,915,7,Ranch13,_7096,Ranch13_7096,-0.00672793,-0.03432
N60060,2017,831,7,Ranch13,_7096,Ranch13_7096,-0.006098,-0.0280208
N60061,2017,979,7,Ranch13,_7096,Ranch13_7096,0.00655482,0.00751801
N60062,2017,900,7,Ranch13,_7096,Ranch13_7096,-0.006078,-0.031355
N60063,2017,771,7,Ranch13,_7096,Ranch13_7096,0.00319288,-0.0262491
N60064,2017,816,7,Ranch13,_7096,Ranch13_7096,-0.00840027,-0.0230043
N60065,2017,744,7,Ranch13,_7096,Ranch13_7096,-0.00856826,-0.0236142
N60066,2017,743,7,Ranch13,_7096,Ranch13_7096,-0.00696907,-0.0458713
N60067,2017,760,7,Ranch13,_7096,Ranch13_7096,-0.000650138,0.00871699
N60068,2017,924,7,Ranch13,_7096,Ranch13_7096,0.00292323,-0.00456141
N60069,2017,782,7,Ranch13,_7096,Ranch13_7096,0.00189823,-0.00540696
N60070,2017,887,7,Ranch13,_7096,Ranch13_7096,0.00115919,-0.0392395
