UFID_Corrected,YEAR,Marbling,CG,Ranch,LOT,RanchLOT,PC1,PC2
N30085,2017,390,25,Ranch6,_7556,Ranch6_7556,-0.00534308,-0.0197409
N30087,2017,410,25,Ranch6,_7556,Ranch6_7556,0.000571449,-0.0296738
N30088,2017,420,25,Ranch6,_7556,Ranch6_7556,-0.0012195,0.0624868
N30089,2017,380,25,Ranch6,_7556,Ranch6_7556,-0.012281,0.0840757
N30090,2017,360,25,Ranch6,_7556,Ranch6_7556,0.000797242,-0.00496532
N30091,2017,390,25,Ranch6,_7556,Ranch6_7556,-0.006306,-0.0444481
N30092,2017,410,22,Ranch5,_7566,Ranch5_7566,0.00955966,-0.0449503
N30093,2017,680,2,Ranch11,_7566,Ranch11_7566,-0.00869574,-0.0025525
N30094,2017,480,25,Ranch6,_7556,Ranch6_7556,-0.00241084,-0.00435598
N30095,2017,390,25,Ranch6,_7556,Ranch6_7556,-0.00127745,-0.0134711
N30096,2017,390,2,Ranch11,_7566,Ranch11_7566,0.00649844,0.04719
N30097,2017,490,13,Ranch2,_7566,Ranch2_7566,-0.0126961,-0.022671
N30098,2017,510,33,STOFI-StThom,_7566,STOFI-StThom_7566,-0.00380913,0.033286
N30099,2017,420,33,STOFI-StThom,_7566,STOFI-StThom_7566,-0.0050389,0.00345336
N30101,2017,710,33,STOFI-StThom,_7566,STOFI-StThom_7566,0.0142202,-0.0273626
N30103,2017,610,33,STOFI-StThom,_7566,STOFI-StThom_7566,0.00680963,0.00170871
N30104,2017,310,17,Ranch2,_7626,Ranch2_7626,-0.00167574,-0.00792755
N30105,2017,510,17,Ranch2,_7626,Ranch2_7626,-0.000393068,-0.00780182
N30106,2017,460,6,Ranch12,_7626,Ranch12_7626,0.00203354,-0.0281915
N30107,2017,390,16,Ranch2,_7606,Ranch2_7606,-0.00136796,-0.0256482
N30108,2017,410,6,Ranch12,_7626,Ranch12_7626,-0.00691383,-0.0245045
N30109,2017,710,24,Ranch5,_7606,Ranch5_7606,-0.00401968,0.00662723
N30110,2017,390,36,Ranch14,_7606,Ranch14_7606,-0.00506064,0.044128
N30111,2017,430,17,Ranch2,_7626,Ranch2_7626,-0.00263918,0.00339447
N40001,2017,420,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.0104491,0.0360893
N40002,2017,430,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00050088,-0.0393748
N40003,2017,520,15,Ranch2,_7596,Ranch2_7596,0.00443202,0.0450935
N40004,2017,430,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00180143,0.00471917
N40005,2017,410,34,STOFI-StThom,_7596,STOFI-StThom_7596,-3.13E-06,-0.0085043
N40006,2017,410,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.0100738,-0.0321639
N40007,2017,570,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00576686,-0.00486724
N40008,2017,410,15,Ranch2,_7596,Ranch2_7596,-0.00679927,-0.0392027
N40009,2017,320,15,Ranch2,_7596,Ranch2_7596,0.0289482,0.00825765
N40010,2017,440,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00319395,0.0311489
N40011,2017,510,15,Ranch2,_7596,Ranch2_7596,0.00360512,-0.00689352
N40012,2017,310,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.0124813,-0.011394
N40013,2017,520,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00167001,0.0227349
N40014,2017,570,15,Ranch2,_7596,Ranch2_7596,-0.00563515,-0.00443666
N40015,2017,510,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00461335,0.0259686
N40016,2017,460,15,Ranch2,_7596,Ranch2_7596,0.0134498,0.0225031
N40017,2017,610,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00789576,0.0281757
N40018,2017,460,15,Ranch2,_7596,Ranch2_7596,0.00510788,-0.0389469
N40019,2017,610,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.000530229,0.0159226
N40020,2017,380,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00915431,0.0106262
N40021,2017,340,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.0121609,0.0340442
N40022,2017,510,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.000869368,0.0381313
N40023,2017,460,9,Ranch14,_7596,Ranch14_7596,-0.00599248,0.0443613
N40026,2017,510,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00345806,0.0210697
N40028,2017,410,1,Ranch1,_77146,Ranch1_77146,-0.00125182,-0.0117547
N40029,2017,310,1,Ranch1,_77146,Ranch1_77146,-0.00912261,-0.00715746
N40030,2017,370,1,Ranch1,_77146,Ranch1_77146,-0.0142231,0.0586508
N40032,2017,510,1,Ranch1,_77146,Ranch1_77146,-0.00432801,0.062404
N40033,2017,310,1,Ranch1,_77146,Ranch1_77146,0.0113129,-0.0573603
N40034,2017,390,1,Ranch1,_77146,Ranch1_77146,-0.0108918,0.0642202
N40035,2017,360,1,Ranch1,_77146,Ranch1_77146,-0.00229139,0.0117283
N40036,2017,280,1,Ranch1,_77146,Ranch1_77146,-0.0104277,-0.0177656
N40037,2017,360,1,Ranch1,_77146,Ranch1_77146,-0.00474702,-0.0174521
